Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Appartements,12 780,"61,0",13 285,"60,6",14 493,"63,8",78586,sartrouville
Ensemble,10 803,"100,0",11 839,"100,0",13 335,"100,0",78621,trappes
Résidences principales,10 006,"92,6",11 082,"93,6",12 315,"92,3",78621,trappes
Résidences secondaires et logements occasionnels,57,"0,5",58,"0,5",125,"0,9",78621,trappes
Logements vacants,741,"6,9",698,"5,9",895,"6,7",78621,trappes
,,,,,,,78621,trappes
Maisons,2 229,"20,6",2 293,"19,4",2 155,"16,2",78621,trappes
Appartements,8 432,"78,0",9 301,"78,6",10 963,"82,2",78621,trappes
Ensemble,8 934,"100,0",10 402,"100,0",11 695,"100,0",78640,velizy-villacoublay
Résidences principales,8 442,"94,5",9 566,"92,0",10 318,"88,2",78640,velizy-villacoublay
Résidences secondaires et logements occasionnels,90,"1,0",203,"1,9",516,"4,4",78640,velizy-villacoublay
Logements vacants,403,"4,5",633,"6,1",861,"7,4",78640,velizy-villacoublay
,,,,,,,78640,velizy-villacoublay
Maisons,1 599,"17,9",1 530,"14,7",1 544,"13,2",78640,velizy-villacoublay
Appartements,7 248,"81,1",8 576,"82,4",9 730,"83,2",78640,velizy-villacoublay
Ensemble,40 994,"100,0",41 666,"100,0",42 804,"100,0",78646,versailles
Résidences principales,36 863,"89,9",36 686,"88,0",37 275,"87,1",78646,versailles
Résidences secondaires et logements occasionnels,1 132,"2,8",1 522,"3,7",2 002,"4,7",78646,versailles
Logements vacants,2 998,"7,3",3 458,"8,3",3 526,"8,2",78646,versailles
,,,,,,,78646,versailles
Maisons,4 702,"11,5",4 588,"11,0",4 486,"10,5",78646,versailles
Appartements,35 667,"87,0",36 587,"87,8",37 787,"88,3",78646,versailles
Ensemble,32 250,"100,0",33 877,"100,0",35 379,"100,0",79191,niort
Résidences principales,29 219,"90,6",30 127,"88,9",31 281,"88,4",79191,niort
Résidences secondaires et logements occasionnels,643,"2,0",853,"2,5",1 122,"3,2",79191,niort
Logements vacants,2 388,"7,4",2 897,"8,6",2 975,"8,4",79191,niort
,,,,,,,79191,niort
Maisons,18 583,"57,6",19 466,"57,5",20 281,"57,3",79191,niort
Appartements,13 318,"41,3",14 170,"41,8",14 787,"41,8",79191,niort
Ensemble,11 991,"100,0",12 234,"100,0",12 752,"100,0",80001,abbeville
Résidences principales,10 919,"91,1",10 864,"88,8",11 316,"88,7",80001,abbeville
Résidences secondaires et logements occasionnels,157,"1,3",122,"1,0",214,"1,7",80001,abbeville
Logements vacants,915,"7,6",1 248,"10,2",1 221,"9,6",80001,abbeville
,,,,,,,80001,abbeville
Maisons,6 957,"58,0",6 801,"55,6",6 711,"52,6",80001,abbeville
Appartements,4 927,"41,1",5 343,"43,7",5 914,"46,4",80001,abbeville
Ensemble,68 813,"100,0",72 372,"100,0",77 565,"100,0",80021,amiens
Résidences principales,62 725,"91,2",64 354,"88,9",68 045,"87,7",80021,amiens
Résidences secondaires et logements occasionnels,668,"1,0",1 141,"1,6",2 157,"2,8",80021,amiens
Logements vacants,5 420,"7,9",6 877,"9,5",7 364,"9,5",80021,amiens
,,,,,,,80021,amiens
Maisons,26 475,"38,5",26 301,"36,3",25 990,"33,5",80021,amiens
Appartements,41 656,"60,5",45 512,"62,9",50 734,"65,4",80021,amiens
Ensemble,28 142,"100,0",28 794,"100,0",30 186,"100,0",81004,albi
Résidences principales,24 858,"88,3",25 438,"88,3",26 704,"88,5",81004,albi
Résidences secondaires et logements occasionnels,563,"2,0",826,"2,9",1 130,"3,7",81004,albi
Logements vacants,2 721,"9,7",2 530,"8,8",2 351,"7,8",81004,albi
,,,,,,,81004,albi
Maisons,14 558,"51,7",14 733,"51,2",15 098,"50,0",81004,albi
Appartements,13 478,"47,9",13 952,"48,5",14 983,"49,6",81004,albi
Ensemble,22 171,"100,0",22 807,"100,0",23 916,"100,0",81065,castres
Résidences principales,19 456,"87,8",19 613,"86,0",20 700,"86,6",81065,castres
Résidences secondaires et logements occasionnels,351,"1,6",365,"1,6",448,"1,9",81065,castres
Logements vacants,2 365,"10,7",2 829,"12,4",2 768,"11,6",81065,castres
,,,,,,,81065,castres
Maisons,13 314,"60,1",13 937,"61,1",14 355,"60,0",81065,castres
Appartements,8 772,"39,6",8 766,"38,4",9 443,"39,5",81065,castres
Ensemble,29 172,"100,0",30 996,"100,0",32 803,"100,0",82121,montauban
Résidences principales,25 633,"87,9",27 445,"88,5",28 591,"87,2",82121,montauban
Résidences secondaires et logements occasionnels,405,"1,4",318,"1,0",513,"1,6",82121,montauban
Logements vacants,3 135,"10,7",3 234,"10,4",3 699,"11,3",82121,montauban
,,,,,,,82121,montauban
Maisons,15 802,"54,2",17 200,"55,5",18 342,"55,9",82121,montauban
Appartements,13 317,"45,6",13 669,"44,1",14 403,"43,9",82121,montauban
Ensemble,18 414,"100,0",20 790,"100,0",21 577,"100,0",83050,draguignan
Résidences principales,16 063,"87,2",17 843,"85,8",17 964,"83,3",83050,draguignan
Résidences secondaires et logements occasionnels,563,"3,1",475,"2,3",634,"2,9",83050,draguignan
Logements vacants,1 788,"9,7",2 471,"11,9",2 980,"13,8",83050,draguignan
,,,,,,,83050,draguignan
Maisons,7 509,"40,8",8 412,"40,5",8 408,"39,0",83050,draguignan
Appartements,10 835,"58,8",12 198,"58,7",13 012,"60,3",83050,draguignan
Ensemble,38 411,"100,0",42 132,"100,0",45 513,"100,0",83061,frejus
Résidences principales,23 782,"61,9",24 308,"57,7",27 603,"60,6",83061,frejus
Résidences secondaires et logements occasionnels,13 590,"35,4",16 274,"38,6",16 469,"36,2",83061,frejus
Logements vacants,1 039,"2,7",1 550,"3,7",1 441,"3,2",83061,frejus
,,,,,,,83061,frejus
Maisons,10 716,"27,9",10 923,"25,9",12 290,"27,0",83061,frejus
Appartements,25 784,"67,1",28 512,"67,7",31 803,"69,9",83061,frejus
Ensemble,12 183,"100,0",12 754,"100,0",13 463,"100,0",83062,la-garde
Résidences principales,11 322,"92,9",11 719,"91,9",12 444,"92,4",83062,la-garde
Résidences secondaires et logements occasionnels,258,"2,1",401,"3,1",342,"2,5",83062,la-garde
Logements vacants,603,"5,0",633,"5,0",677,"5,0",83062,la-garde
,,,,,,,83062,la-garde
Maisons,4 253,"34,9",4 385,"34,4",4 476,"33,2",83062,la-garde
Appartements,7 797,"64,0",8 254,"64,7",8 593,"63,8",83062,la-garde
Ensemble,36 269,"100,0",38 540,"100,0",40 260,"100,0",83069,hyeres
Résidences principales,25 276,"69,7",26 563,"68,9",27 747,"68,9",83069,hyeres
Résidences secondaires et logements occasionnels,8 538,"23,5",9 078,"23,6",10 069,"25,0",83069,hyeres
Logements vacants,2 456,"6,8",2 899,"7,5",2 444,"6,1",83069,hyeres
,,,,,,,83069,hyeres
Maisons,10 941,"30,2",11 608,"30,1",11 094,"27,6",83069,hyeres
Appartements,24 803,"68,4",26 373,"68,4",28 665,"71,2",83069,hyeres
Ensemble,33 105,"100,0",35 007,"100,0",36 505,"100,0",83118,saint-raphael
Résidences principales,16 551,"50,0",18 256,"52,2",19 122,"52,4",83118,saint-raphael
Résidences secondaires et logements occasionnels,15 290,"46,2",15 473,"44,2",16 140,"44,2",83118,saint-raphael
Logements vacants,1 264,"3,8",1 277,"3,6",1 243,"3,4",83118,saint-raphael
,,,,,,,83118,saint-raphael
Maisons,11 212,"33,9",11 666,"33,3",10 332,"28,3",83118,saint-raphael
Appartements,21 815,"65,9",23 307,"66,6",26 028,"71,3",83118,saint-raphael
Ensemble,33 633,"100,0",35 856,"100,0",37 143,"100,0",83126,la-seyne-sur-mer
Résidences principales,27 519,"81,8",29 298,"81,7",29 832,"80,3",83126,la-seyne-sur-mer
Résidences secondaires et logements occasionnels,3 549,"10,6",3 230,"9,0",3 794,"10,2",83126,la-seyne-sur-mer
Logements vacants,2 565,"7,6",3 328,"9,3",3 516,"9,5",83126,la-seyne-sur-mer
,,,,,,,83126,la-seyne-sur-mer
Maisons,11 381,"33,8",11 677,"32,6",11 626,"31,3",83126,la-seyne-sur-mer
Appartements,22 190,"66,0",24 137,"67,3",25 309,"68,1",83126,la-seyne-sur-mer
Ensemble,24 849,"100,0",25 181,"100,0",27 808,"100,0",83129,six-fours-les-plages
Résidences principales,16 420,"66,1",16 171,"64,2",18 494,"66,5",83129,six-fours-les-plages
Résidences secondaires et logements occasionnels,7 308,"29,4",7 838,"31,1",8 143,"29,3",83129,six-fours-les-plages
Logements vacants,1 121,"4,5",1 172,"4,7",1 171,"4,2",83129,six-fours-les-plages
,,,,,,,83129,six-fours-les-plages
Maisons,11 503,"46,3",10 958,"43,5",12 040,"43,3",83129,six-fours-les-plages
Appartements,13 112,"52,8",14 099,"56,0",15 507,"55,8",83129,six-fours-les-plages
Ensemble,89 934,"100,0",91 357,"100,0",95 873,"100,0",83137,toulon
Résidences principales,78 890,"87,7",81 441,"89,1",90 284,"94,2",83137,toulon
Résidences secondaires et logements occasionnels,2 736,"3,0",2 896,"3,2",2 171,"2,3",83137,toulon
Logements vacants,8 309,"9,2",7 020,"7,7",3 418,"3,6",83137,toulon
,,,,,,,83137,toulon
Maisons,20 022,"22,3",20 206,"22,1",19 751,"20,6",83137,toulon
Appartements,69 562,"77,3",70 961,"77,7",75 698,"79,0",83137,toulon
Ensemble,10 595,"100,0",11 709,"100,0",12 653,"100,0",83144,la-valette-du-var
Résidences principales,9 744,"92,0",11 002,"94,0",11 723,"92,6",83144,la-valette-du-var
Résidences secondaires et logements occasionnels,169,"1,6",97,"0,8",127,"1,0",83144,la-valette-du-var
Logements vacants,682,"6,4",609,"5,2",804,"6,4",83144,la-valette-du-var
,,,,,,,83144,la-valette-du-var
Maisons,3 630,"34,3",3 901,"33,3",3 740,"29,6",83144,la-valette-du-var
Appartements,6 927,"65,4",7 787,"66,5",8 850,"69,9",83144,la-valette-du-var
Ensemble,49 772,"100,0",52 883,"100,0",54 853,"100,0",84007,avignon
Résidences principales,41 925,"84,2",43 783,"82,8",43 327,"79,0",84007,avignon
Résidences secondaires et logements occasionnels,998,"2,0",1 375,"2,6",2 938,"5,4",84007,avignon
Logements vacants,6 848,"13,8",7 725,"14,6",8 588,"15,7",84007,avignon
,,,,,,,84007,avignon
Maisons,14 592,"29,3",14 652,"27,7",14 869,"27,1",84007,avignon
Appartements,34 850,"70,0",37 650,"71,2",39 418,"71,9",84007,avignon
Ensemble,14 621,"100,0",14 771,"100,0",15 893,"100,0",84031,carpentras
Résidences principales,12 663,"86,6",12 641,"85,6",13 804,"86,9",84031,carpentras
Résidences secondaires et logements occasionnels,246,"1,7",385,"2,6",412,"2,6",84031,carpentras
Logements vacants,1 713,"11,7",1 745,"11,8",1 678,"10,6",84031,carpentras
,,,,,,,84031,carpentras
Maisons,7 158,"49,0",7 417,"50,2",8 016,"50,4",84031,carpentras
Appartements,7 385,"50,5",7 328,"49,6",7 838,"49,3",84031,carpentras
Ensemble,12 300,"100,0",13 666,"100,0",14 036,"100,0",84035,cavaillon
Résidences principales,10 848,"88,2",11 955,"87,5",12 094,"86,2",84035,cavaillon
Résidences secondaires et logements occasionnels,198,"1,6",285,"2,1",305,"2,2",84035,cavaillon
Logements vacants,1 253,"10,2",1 426,"10,4",1 636,"11,7",84035,cavaillon
,,,,,,,84035,cavaillon
Maisons,5 718,"46,5",6 327,"46,3",6 136,"43,7",84035,cavaillon
Appartements,6 542,"53,2",7 221,"52,8",7 692,"54,8",84035,cavaillon
Ensemble,14 053,"100,0",14 184,"100,0",14 871,"100,0",84087,orange
Résidences principales,12 286,"87,4",12 698,"89,5",13 207,"88,8",84087,orange
Résidences secondaires et logements occasionnels,161,"1,1",142,"1,0",257,"1,7",84087,orange
Logements vacants,1 605,"11,4",1 344,"9,5",1 408,"9,5",84087,orange
,,,,,,,84087,orange
Maisons,7 212,"51,3",7 229,"51,0",7 399,"49,8",84087,orange
Appartements,6 743,"48,0",6 919,"48,8",7 383,"49,6",84087,orange
Ensemble,9 026,"100,0",9 722,"100,0",10 582,"100,0",84089,pertuis
Résidences principales,8 174,"90,6",8 781,"90,3",9 472,"89,5",84089,pertuis
Résidences secondaires et logements occasionnels,144,"1,6",142,"1,5",190,"1,8",84089,pertuis
Logements vacants,709,"7,9",800,"8,2",920,"8,7",84089,pertuis
,,,,,,,84089,pertuis
Maisons,5 434,"60,2",5 636,"58,0",5 941,"56,1",84089,pertuis
Appartements,3 413,"37,8",4 014,"41,3",4 552,"43,0",84089,pertuis
Ensemble,9 448,"100,0",10 299,"100,0",11 831,"100,0",85047,challans
Résidences principales,8 600,"91,0",9 259,"89,9",10 837,"91,6",85047,challans
Résidences secondaires et logements occasionnels,214,"2,3",265,"2,6",223,"1,9",85047,challans
Logements vacants,634,"6,7",775,"7,5",772,"6,5",85047,challans
,,,,,,,85047,challans
Maisons,7 413,"78,5",8 137,"79,0",9 216,"77,9",85047,challans
Appartements,1 970,"20,9",2 138,"20,8",2 561,"21,6",85047,challans
Ensemble,8 050,"100,0",8 850,"100,0",9 344,"100,0",85146,montaigu-vendee
Résidences principales,7 496,"93,1",8 187,"92,5",8 848,"94,7",85146,montaigu-vendee
Résidences secondaires et logements occasionnels,123,"1,5",204,"2,3",137,"1,5",85146,montaigu-vendee
Logements vacants,430,"5,3",459,"5,2",359,"3,8",85146,montaigu-vendee
,,,,,,,85146,montaigu-vendee
Maisons,6 782,"84,3",7 435,"84,0",7 816,"83,7",85146,montaigu-vendee
Appartements,1 219,"15,1",1 366,"15,4",1 483,"15,9",85146,montaigu-vendee
Ensemble,27 606,"100,0",29 212,"100,0",30 856,"100,0",85191,la-roche-sur-yon
Résidences principales,25 671,"93,0",26 924,"92,2",28 313,"91,8",85191,la-roche-sur-yon
Résidences secondaires et logements occasionnels,430,"1,6",559,"1,9",956,"3,1",85191,la-roche-sur-yon
Logements vacants,1 505,"5,5",1 729,"5,9",1 587,"5,1",85191,la-roche-sur-yon
,,,,,,,85191,la-roche-sur-yon
Maisons,14 449,"52,3",15 079,"51,6",15 457,"50,1",85191,la-roche-sur-yon
Appartements,12 961,"46,9",13 894,"47,6",15 241,"49,4",85191,la-roche-sur-yon
Ensemble,37 067,"100,0",38 958,"100,0",42 346,"100,0",85194,les-sables-d-olonne
Résidences principales,20 854,"56,3",21 945,"56,3",25 595,"60,4",85194,les-sables-d-olonne
Résidences secondaires et logements occasionnels,15 311,"41,3",16 231,"41,7",15 464,"36,5",85194,les-sables-d-olonne
Logements vacants,902,"2,4",782,"2,0",1 287,"3,0",85194,les-sables-d-olonne
,,,,,,,85194,les-sables-d-olonne
Maisons,23 373,"63,1",24 623,"63,2",26 420,"62,4",85194,les-sables-d-olonne
Appartements,13 523,"36,5",14 191,"36,4",15 856,"37,4",85194,les-sables-d-olonne
Ensemble,18 197,"100,0",18 386,"100,0",18 603,"100,0",86066,chatellerault
Résidences principales,15 640,"85,9",15 698,"85,4",15 776,"84,8",86066,chatellerault
Résidences secondaires et logements occasionnels,297,"1,6",386,"2,1",471,"2,5",86066,chatellerault
Logements vacants,2 260,"12,4",2 302,"12,5",2 356,"12,7",86066,chatellerault
,,,,,,,86066,chatellerault
Maisons,10 822,"59,5",11 366,"61,8",11 207,"60,2",86066,chatellerault
Appartements,7 144,"39,3",6 782,"36,9",7 092,"38,1",86066,chatellerault
Ensemble,53 420,"100,0",54 777,"100,0",56 324,"100,0",86194,poitiers
Résidences principales,47 839,"89,6",48 270,"88,1",50 099,"88,9",86194,poitiers
Résidences secondaires et logements occasionnels,827,"1,5",1 738,"3,2",1 762,"3,1",86194,poitiers
Logements vacants,4 754,"8,9",4 769,"8,7",4 463,"7,9",86194,poitiers
,,,,,,,86194,poitiers
Maisons,15 677,"29,3",15 723,"28,7",16 022,"28,4",86194,poitiers
Appartements,37 311,"69,8",38 625,"70,5",39 822,"70,7",86194,poitiers
Ensemble,80 818,"100,0",82 232,"100,0",82 862,"100,0",87085,limoges
Résidences principales,73 725,"91,2",72 876,"88,6",73 071,"88,2",87085,limoges
Résidences secondaires et logements occasionnels,1 256,"1,6",2 078,"2,5",2 513,"3,0",87085,limoges
Logements vacants,5 836,"7,2",7 278,"8,9",7 278,"8,8",87085,limoges
,,,,,,,87085,limoges
Maisons,21 956,"27,2",22 683,"27,6",22 725,"27,4",87085,limoges
Appartements,58 265,"72,1",58 996,"71,7",59 557,"71,9",87085,limoges
Ensemble,18 203,"100,0",18 684,"100,0",19 086,"100,0",88160,epinal
Résidences principales,15 885,"87,3",15 679,"83,9",16 054,"84,1",88160,epinal
Résidences secondaires et logements occasionnels,291,"1,6",316,"1,7",417,"2,2",88160,epinal
Logements vacants,2 026,"11,1",2 688,"14,4",2 615,"13,7",88160,epinal
,,,,,,,88160,epinal
Maisons,5 632,"30,9",5 703,"30,5",5 824,"30,5",88160,epinal
Appartements,12 535,"68,9",12 773,"68,4",13 098,"68,6",88160,epinal
Ensemble,19 997,"100,0",20 111,"100,0",21 278,"100,0",89024,auxerre
Résidences principales,17 541,"87,7",16 951,"84,3",17 833,"83,8",89024,auxerre
Résidences secondaires et logements occasionnels,428,"2,1",589,"2,9",602,"2,8",89024,auxerre
Logements vacants,2 028,"10,1",2 571,"12,8",2 843,"13,4",89024,auxerre
,,,,,,,89024,auxerre
Maisons,7 227,"36,1",7 214,"35,9",7 397,"34,8",89024,auxerre
Appartements,12 611,"63,1",12 830,"63,8",13 812,"64,9",89024,auxerre
Ensemble,13 984,"100,0",14 387,"100,0",14 901,"100,0",89387,sens
Résidences principales,12 040,"86,1",12 552,"87,2",13 009,"87,3",89387,sens
Résidences secondaires et logements occasionnels,260,"1,9",308,"2,1",391,"2,6",89387,sens
Logements vacants,1 684,"12,0",1 527,"10,6",1 501,"10,1",89387,sens
,,,,,,,89387,sens
Maisons,5 111,"36,6",5 053,"35,1",5 172,"34,7",89387,sens
Appartements,8 755,"62,6",9 245,"64,3",9 646,"64,7",89387,sens
Ensemble,26 995,"100,0",27 373,"100,0",27 625,"100,0",90010,belfort
Résidences principales,24 770,"91,8",24 673,"90,1",23 319,"84,4",90010,belfort
Résidences secondaires et logements occasionnels,152,"0,6",198,"0,7",448,"1,6",90010,belfort
Logements vacants,2 073,"7,7",2 502,"9,1",3 858,"14,0",90010,belfort
,,,,,,,90010,belfort
Maisons,3 580,"13,3",3 538,"12,9",3 411,"12,3",90010,belfort
Appartements,23 144,"85,7",23 664,"86,5",23 842,"86,3",90010,belfort
Ensemble,12 631,"100,0",13 925,"100,0",15 513,"100,0",91027,athis-mons
Résidences principales,11 907,"94,3",13 045,"93,7",14 475,"93,3",91027,athis-mons
Résidences secondaires et logements occasionnels,48,"0,4",74,"0,5",128,"0,8",91027,athis-mons
Logements vacants,676,"5,4",805,"5,8",909,"5,9",91027,athis-mons
,,,,,,,91027,athis-mons
Maisons,4 880,"38,6",4 707,"33,8",4 996,"32,2",91027,athis-mons
Appartements,7 614,"60,3",9 091,"65,3",10 337,"66,6",91027,athis-mons
Ensemble,9 551,"100,0",11 362,"100,0",12 113,"100,0",91103,bretigny-sur-orge
Résidences principales,9 047,"94,7",10 514,"92,5",11 178,"92,3",91103,bretigny-sur-orge
Résidences secondaires et logements occasionnels,51,"0,5",98,"0,9",145,"1,2",91103,bretigny-sur-orge
Logements vacants,453,"4,7",751,"6,6",789,"6,5",91103,bretigny-sur-orge
,,,,,,,91103,bretigny-sur-orge
Maisons,4 101,"42,9",4 549,"40,0",4 369,"36,1",91103,bretigny-sur-orge
Appartements,5 285,"55,3",6 637,"58,4",7 591,"62,7",91103,bretigny-sur-orge
Ensemble,10 970,"100,0",11 243,"100,0",11 533,"100,0",91114,brunoy
Résidences principales,10 290,"93,8",10 439,"92,9",10 711,"92,9",91114,brunoy
Résidences secondaires et logements occasionnels,129,"1,2",116,"1,0",131,"1,1",91114,brunoy
Logements vacants,550,"5,0",688,"6,1",691,"6,0",91114,brunoy
,,,,,,,91114,brunoy
Maisons,5 376,"49,0",5 528,"49,2",5 633,"48,8",91114,brunoy
Appartements,5 536,"50,5",5 603,"49,8",5 845,"50,7",91114,brunoy
Ensemble,18 858,"100,0",21 906,"100,0",23 752,"100,0",91174,corbeil-essonnes
Résidences principales,17 151,"90,9",19 990,"91,3",21 268,"89,5",91174,corbeil-essonnes
Résidences secondaires et logements occasionnels,100,"0,5",111,"0,5",158,"0,7",91174,corbeil-essonnes
Logements vacants,1 608,"8,5",1 805,"8,2",2 326,"9,8",91174,corbeil-essonnes
,,,,,,,91174,corbeil-essonnes
Maisons,4 944,"26,2",5 111,"23,3",5 211,"21,9",91174,corbeil-essonnes
Appartements,13 560,"71,9",16 415,"74,9",18 277,"76,9",91174,corbeil-essonnes
Ensemble,11 830,"100,0",12 155,"100,0",12 552,"100,0",91201,draveil
Résidences principales,11 014,"93,1",11 276,"92,8",11 745,"93,6",91201,draveil
Résidences secondaires et logements occasionnels,98,"0,8",120,"1,0",104,"0,8",91201,draveil
